Label,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_COLOR,MEAN_INTENSITY,MEDIAN_INTENSITY,MIN_INTENSITY,MAX_INTENSITY,TOTAL_INTENSITY,STANDARD_DEVIATION,ESTIMATED_DIAMETER,CONTRAST,SNR
ID2,2,None,-1,7.101,9.329,0,0,0,5,1,-10921639,2.054E-4,6.755E-6,-4.224E-7,0.004,161.596,5.550E-4,8.885,0.862,0.343
ID7,7,0,-1,7.100,9.332,0,0,0,5,1,-256,2.054E-4,6.755E-6,-4.224E-7,0.004,161.596,5.550E-4,8.885,0.862,0.343
ID11,11,0,-1,7.091,9.333,0,1,1,5,1,-256,8.299E-5,6.355E-6,2.148E-6,6.520E-4,65.301,1.894E-4,8.850,0.776,0.383
ID15,15,0,-1,7.072,9.278,0,2,2,5,1,-256,2.080E-4,6.700E-6,-9.759E-8,0.004,163.682,5.622E-4,8.894,0.853,0.341
ID19,19,0,-1,7.067,9.276,0,3,3,5,1,-256,8.303E-5,6.331E-6,2.139E-6,6.518E-4,65.330,1.897E-4,8.683,0.768,0.380
ID23,23,0,-1,7.030,9.221,0,4,4,5,1,-256,2.106E-4,6.487E-6,-3.151E-7,0.004,165.677,5.695E-4,8.872,0.847,0.339
ID27,27,0,-1,7.022,9.218,0,5,5,5,1,-256,8.252E-5,6.102E-6,2.040E-6,6.279E-4,64.927,1.899E-4,8.441,0.760,0.375
ID31,31,0,-1,7.000,9.167,0,6,6,5,1,-256,2.129E-4,6.227E-6,-3.163E-7,0.004,167.547,5.762E-4,8.874,0.840,0.338
ID35,35,0,-1,7.006,9.160,0,7,7,5,1,-256,8.250E-5,5.823E-6,2.041E-6,6.284E-4,64.912,1.904E-4,8.331,0.756,0.373
ID39,39,0,-1,6.972,9.105,0,8,8,5,1,-256,2.156E-4,6.000E-6,-6.272E-7,0.003,169.637,5.825E-4,8.894,0.831,0.336
ID43,43,0,-1,6.969,9.107,0,9,9,5,1,-256,8.263E-5,5.618E-6,1.950E-6,6.518E-4,65.013,1.906E-4,8.292,0.744,0.370
ID47,47,0,-1,6.928,9.051,0,10,10,5,1,-256,2.180E-4,5.832E-6,-9.626E-7,0.003,171.539,5.887E-4,8.877,0.828,0.335
ID51,51,0,-1,6.930,9.045,0,11,11,5,1,-256,8.255E-5,5.471E-6,1.978E-6,6.517E-4,64.953,1.910E-4,8.218,0.741,0.368
ID55,55,0,-1,6.911,8.990,0,12,12,5,1,-256,2.203E-4,5.682E-6,-5.275E-7,0.004,173.305,5.944E-4,8.881,0.822,0.334
ID59,59,0,-1,6.911,8.991,0,13,13,5,1,-256,8.258E-5,5.331E-6,1.899E-6,6.278E-4,64.974,1.914E-4,8.188,0.736,0.366
ID313,313,0,-1,6.883,8.935,0,14,14,5,1,-256,2.229E-4,5.546E-6,-6.322E-7,0.004,175.354,6.005E-4,8.880,0.818,0.334
ID320,320,0,-1,6.877,8.930,0,15,15,5,1,-256,8.265E-5,5.192E-6,1.812E-6,6.599E-4,65.030,1.919E-4,8.166,0.733,0.364
ID71,71,0,-1,6.843,8.879,0,16,16,5,1,-256,2.252E-4,5.422E-6,-5.371E-7,0.004,177.195,6.059E-4,8.909,0.814,0.334
ID324,324,0,-1,6.849,8.873,0,17,17,5,1,-256,8.277E-5,5.072E-6,1.927E-6,6.597E-4,65.123,1.922E-4,8.159,0.728,0.363
ID79,79,0,-1,6.817,8.811,0,18,18,5,1,-256,2.278E-4,5.270E-6,-7.340E-7,0.004,179.244,6.115E-4,8.912,0.813,0.334
ID83,83,0,-1,6.817,8.814,0,19,19,5,1,-256,8.270E-5,4.934E-6,1.847E-6,6.596E-4,65.071,1.925E-4,8.141,0.726,0.362
ID87,87,1,-1,6.770,4.330,0,20,20,5,1,-65536,2.318E-4,4.946E-6,-1.302E-6,0.004,182.383,6.213E-4,9.029,0.806,0.333
ID91,91,1,-1,6.768,4.331,0,21,21,5,1,-65536,8.281E-5,4.608E-6,0.000,0.001,65.157,1.934E-4,11.502,0.724,0.360
ID95,95,1,-1,6.770,4.269,0,22,22,5,1,-65536,2.329E-4,4.829E-6,-1.396E-6,0.004,183.232,6.242E-4,9.060,0.802,0.332
ID99,99,1,-1,6.770,4.269,0,23,23,5,1,-65536,8.263E-5,4.498E-6,0.000,0.001,65.016,1.934E-4,11.554,0.720,0.358
ID103,103,1,-1,6.748,4.199,0,24,24,5,1,-65536,2.333E-4,4.702E-6,-1.593E-6,0.004,183.591,6.262E-4,9.109,0.797,0.331
ID107,107,1,-1,6.747,4.198,0,25,25,5,1,-65536,8.246E-5,4.388E-6,0.000,0.001,64.880,1.933E-4,11.610,0.714,0.355
ID111,111,1,-1,6.750,4.140,0,26,26,5,1,-65536,2.338E-4,4.613E-6,-1.613E-6,0.005,183.973,6.280E-4,9.155,0.792,0.329
ID115,115,1,-1,6.751,4.145,0,27,27,5,1,-65536,8.246E-5,4.302E-6,0.000,9.763E-4,64.881,1.933E-4,11.692,0.708,0.354
ID119,119,1,-1,6.735,4.069,0,28,28,5,1,-65536,2.340E-4,4.544E-6,-1.471E-6,0.005,184.146,6.291E-4,9.192,0.787,0.328
ID329,329,1,-1,6.732,4.065,0,29,29,5,1,-65536,8.202E-5,4.219E-6,0.000,0.001,64.538,1.928E-4,11.779,0.699,0.350
ID127,127,1,-1,6.729,4.001,0,30,30,5,1,-65536,2.333E-4,4.466E-6,-1.388E-6,0.005,183.592,6.291E-4,9.218,0.779,0.325
ID131,131,1,-1,6.724,3.996,0,31,31,5,1,-65536,8.165E-5,4.154E-6,0.000,9.758E-4,64.242,1.925E-4,11.853,0.690,0.346
ID374,374,1,-1,6.720,3.928,0,32,32,5,1,-65536,2.323E-4,4.385E-6,-1.748E-6,0.005,182.797,6.286E-4,9.207,0.774,0.322
ID335,335,1,-1,6.715,3.928,0,33,33,5,1,-65536,8.129E-5,4.086E-6,0.000,0.001,63.960,1.922E-4,11.908,0.685,0.344
